DialogueID,EnemyLine,StatKor,Stat,DifficultyKor,Difficulty,ChoiceID,ChoiceText,BigFailText,BigFailValue,FailText,FailValue,SuccessText,SuccessValue,BigSuccessText,BigSuccessValue
1,파머들은 서로 자신이 진짜라고 주장했다.<br>분위기가 가열되더니 몸싸움을 벌이기 시작했다.<br>라플리의 행동은...,NORMAL,NONE,판정 없음,NONE,1,손을 뻗고 멈추라고 외친다.,,,,,가볍게 무시당했다.<br>파머들은 더 격렬하게 싸워댔다.,-10,,
1,파머들은 서로 자신이 진짜라고 주장했다.<br>분위기가 가열되더니 몸싸움을 벌이기 시작했다.<br>라플리의 행동은...,행운,LUK,극단적 성공,EXTREME,2,파머들 사이로 발가락을 뻗어 도미노처럼 넘어뜨린다.,으악!!!<br>오히려 라플리의 발가락이 완전히 꼬이게 되었다.<br>너무 아프다...,-60,으악!<br>오히려 라플리의 발가락이 살짝 꼬이게 되었다.<br>조금 아프다...,-20,발가락이 어느 파머를 살짝 넘어뜨렸다.<br>그 바람에 다른 파머들도 쓰러졌다.,30,발가락이 정확하게 어느 파머를 넘어뜨렸다.<br>그 바람에 모두가 줄줄이 쓰러졌다.,60
1,파머들은 서로 자신이 진짜라고 주장했다.<br>분위기가 가열되더니 몸싸움을 벌이기 시작했다.<br>라플리의 행동은...,체력,HP,어려운 성공,HARD,3,파머들 사이에서 아무말 않고 버틴다.,어떤 파머의 주먹에 정확히 맞아버렸다.<br>이 방법은 아닌 것 같다...,-60,어떤 파머의 주먹에 살짝 맞아버렸다.<br>이 방법은 아닌 것 같다...,-10,우뚝한 자세로 서있는 아우라에 몇몇의 파머들이 쫄았다.,10,우뚝한 자세로 서있는 아우라에 모든 파머들이 쫄았다.,60
1,파머들은 서로 자신이 진짜라고 주장했다.<br>분위기가 가열되더니 몸싸움을 벌이기 시작했다.<br>라플리의 행동은...,마력,MP,보통 성공,NORMAL,4,천둥같은 소음을 발생시켜 주의를 분산시킨다.,소리를 들은 채도 하지 않는 파머들.<br>효과가 전혀 없는 것 같다.,-60,소리를 들은 채도 하지 않는 파머들.<br>효과가 없는 것 같다.,-30,와장창! 큰 소리에 파머들이 잠시 행동을 멈추었다.,10,와장창! 큰 소리에 파머들이 행동을 완전히 멈추었다.,60
2,"""파머답게 싸우자!""<br>어느 파머의 외침에 모두가 동의하듯 고개를 끄덕였다.<br>삽을 꺼내들더니 미친듯이 구덩이를 퍼내고 있다.<br>점점 깊숙해지는 구덩이를 방치할 수 없다.<br>라플리의 행동은...",NORMAL,NONE,판정 없음,NONE,1,이미 충분히 팠다고 말한다.,,,,,파머들이 고개를 갸웃거렸다.<br>아무도 납득하지 못한 것 같다.,-10,-,
2,"""파머답게 싸우자!""<br>어느 파머의 외침에 모두가 동의하듯 고개를 끄덕였다.<br>삽을 꺼내들더니 미친듯이 구덩이를 퍼내고 있다.<br>점점 깊숙해지는 구덩이를 방치할 수 없다.<br>라플리의 행동은...",마력,MP,보통 성공,NORMAL,2,광선검으로 삽을 부숴버린다.,라플리가 광선검을 내리쳤지만 힘이 많이 부족했다.<br>튼튼한 삽인 것만 알게 됐다.,-60,라플리가 광선검을 내리쳤지만 힘이 조금 모잘랐다.<br>튼튼한 삽인 것만 알게 됐다.,-10,와장창! 소리와 함께 몇개의 삽이 부서졌다.<br>파머들이 허망한 표정을 짓는다.,20,와장창! 소리와 함께 삽이 전부 부서졌다.<br>파머들이 허망한 표정을 짓는다.,60
2,"""파머답게 싸우자!""<br>어느 파머의 외침에 모두가 동의하듯 고개를 끄덕였다.<br>삽을 꺼내들더니 미친듯이 구덩이를 퍼내고 있다.<br>점점 깊숙해지는 구덩이를 방치할 수 없다.<br>라플리의 행동은...",매력,CHA,어려운 성공,HARD,3,달러처럼 카리스마 있게 그만두라고 명령한다.,아무 일도 일어나지 않았다.<br>훨씬 더 날카롭게 눈을 떠야할 것 같다.,-60,아무 일도 일어나지 않았다.<br>조금 더 날카롭게 눈을 떠야할 것 같다.,-20,써늘하다... 비정한 시선이 날아와 꽂혔다.<br>몇몇의 손 동작이 느려지더니 삽을 떨구었다.,30,써늘하다... 비정한 시선이 날아와 꽂혔다.<br>손 동작이 느려지더니 이내 모두가 삽을 떨구었다.,60
2,"""파머답게 싸우자!""<br>어느 파머의 외침에 모두가 동의하듯 고개를 끄덕였다.<br>삽을 꺼내들더니 미친듯이 구덩이를 퍼내고 있다.<br>점점 깊숙해지는 구덩이를 방치할 수 없다.<br>라플리의 행동은...",체력,HP,어려운 성공,,4,모든 삽을 붙잡고 버틴다.,라플리가 삽을 잡지도 못했다.<br>손아귀의 힘이 부족하다.,-60,라플리가 삽을 잡았다.<br>하지만 금방 손에 힘이 풀려버렸다.,-10,꽈악.<br>라플리가 몇 개의 삽을 한꺼번에 잡아버렸다. <br>손아귀에 버티지 못한 파머들이 삽을 놓아버렸다.,10,꽈악!<br>라플리가 모든 삽을 한꺼번에 잡아버렸다. <br>손아귀에 버티지 못한 파머들이 전부 삽을 놓아버렸다.,60
3,"""농사란 자랄 때까지 땅을 파는 것!"",<br>""파머의 일을 막지 마!"", ""이게 농사라고!"", ...<br>갑자기 파머들이 합심한 듯 목소리를 낸다.<br>하지만 농사에 대해 오해를 하고 있는 것 같다.<br>라플리의 행동은...",NORMAL,NONE,판정 없음,NONE,1,농사의 정석을 읽으라고 권유한다.,,,,,"""독서는 문외한이라...""<br>파머들이 머쓱해하며 시선을 회피한다.",0,,
3,"""농사란 자랄 때까지 땅을 파는 것!"",<br>""파머의 일을 막지 마!"", ""이게 농사라고!"", ...<br>갑자기 파머들이 합심한 듯 목소리를 낸다.<br>하지만 농사에 대해 오해를 하고 있는 것 같다.<br>라플리의 행동은...",지능,INT,보통 성공,NORMAL,2,농사에 대한 꿈을 꿔보자며 낮잠타임을 시작한다.,갑자기 잠을 어떻게 자냐고 모든 파머들이 화를 낸다.,-60,갑자기 잠을 어떻게 자냐고 몇 명의 파머들이 화를 낸다.,-20,농사꿈을 꿀 수 있다니!<br>파머 몇몇이 설레하며 잠시 낮잠을 자고 일어났다.,10,농사꿈을 꿀 수 있다니!<br>파머들이 설레하며 잠시 낮잠을 자고 일어났다.,60
